x,y,mean,stddev
544.5946058,432.8900143,-0.411169966,0.206193236
587.3520687,385.7209136,-0.323444658,0.1634462
605.4664709,300.6790917,-0.236087385,0.063194169
521.0086422,289.1276866,-0.294558485,0.156553174
457.7492805,314.6400463,-0.417213735,0.222719986
442.161835,376.2489425,-0.452211717,0.210795897
478.2239218,429.3552197,-0.457563362,0.183979033
513.6582977,365.4348437,-0.394831423,0.221232056
542.7118388,463.474774,-0.422898131,0.103574846
607.9010261,360.3044137,-0.317814066,0.115971168
550.5781063,232.7939971,-0.233922342,0.11491939
427.9010415,207.230835,-0.319371675,0.114411672
290.7931562,259.2067107,-0.349353409,0.070789975
317.1143696,409.9297589,-0.434411805,0.087840475
415.7362634,495.0350814,-0.473507405,0.096564335
453.9397917,353.6776338,-0.397221866,0.084793447
259.6433093,225.1115641,-0.33317994,0.07238865
181.6190711,135.8588698,-0.222027295,0.09971946
544.696378,449.4056345,-0.406316294,0.244203074
565.6661356,444.2131229,-0.375442057,0.246028791
574.8217403,424.5338085,-0.33557872,0.237900813
565.1017586,404.9326035,-0.332981411,0.221154691
543.913559,400.3907823,-0.352777857,0.220919655
527.2927256,414.5798317,-0.394667365,0.225499492
527.319408,435.9465281,-0.422264464,0.219626106
549.6627016,425.0899387,-0.371408306,0.228607428
547.6693725,433.4706236,-0.386071245,0.239145993
352.6873778,1623.597427,-0.286235716,0.356078657
333.959775,1629.546635,-0.252758368,0.296511039
326.6442878,1622.915629,-0.24982132,0.25031455
328.4621846,1613.50329,-0.269459408,0.27932327
314.9053581,1635.777899,-0.172665372,0.188030589
318.8763407,1616.557841,-0.307960682,0.331538916
323.1908426,1597.059006,-0.352943984,0.304790556
335.5811763,1538.52697,-0.330418469,0.276554788
344.476693,1646.644801,-0.183459953,0.209449478
541.5054149,463.6358998,-0.376149896,0.180554342
450.5257228,149.5319201,-0.27799346,0.15497931
480.0128233,1003.960097,-0.717029111,0.164042817
250.8892749,488.87329,-0.482884051,0.16946978
346.8852085,668.0634804,-0.570773797,0.151506326
360.3708046,430.1094408,-0.464106854,0.153194329
405.1490411,1295.102934,-0.679761859,0.279544176
60.5891737,377.2305633,-0.326269612,0.210152056
49.93263599,404.3957499,-0.342494165,0.22691427
46.480977,413.8102697,-0.332123233,0.212308377
44.76352051,418.2537631,-0.34172695,0.21111497
